Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
Trey Lyles,20,1,80,1382,191,436,49,128,57,82,59,299,59,26,18,65,114,488,18.55732779,12,81,82.25,85.5,108,,,,,241,12.1,9.25,10.25,,,
Jarell Martin,21,1,27,380,54,116,0,2,45,62,39,86,15,8,7,19,58,153,20.60732368,25,80,81.25,81.75,106.5,34.5,141,28.5,135,239,10.1,8.25,,19,11.12,3.27
T.J. McConnell,23,1,81,1606,218,464,31,89,26,41,43,250,367,95,10,140,114,493,21.61527335,,72.5,74,74,96.5,31.5,128,26,122.5,188,7.3,7.5,7,7,10.84,3.3
Chris McCullough,20,1,24,362,44,109,13,34,11,23,25,68,9,28,12,15,39,112,19.75824033,29,80.25,81,87.25,109,,,,,199,6.2,8.75,8.75,,,
Jordan McRae,24,1,22,195,34,78,10,22,21,28,4,20,25,3,1,15,17,99,23.80042564,58,75.75,77.25,84.5,104,34.5,138.5,27.5,131.5,179,5.2,8.75,8.5,,11.07,3.39
Jordan Mickey,21,1,16,57,8,22,0,0,5,10,6,13,1,0,11,1,5,21,26.05507018,33,79,80.25,87.25,106,37.5,143.5,33,139,238,7.2,8.75,9.5,9,11.8,3.28
Lamar Patterson,24,1,35,395,28,80,12,49,16,22,4,50,39,9,2,23,45,84,11.11953165,48,76,77.25,83,101,32.5,133.5,27.5,128.5,226,10.8,9,9.25,,11.63,3.45
Cameron Payne,21,1,57,698,114,278,36,111,19,24,9,85,108,36,6,44,80,283,23.0547192,14,72.75,73.5,79.25,97.5,35.5,133,30,127.5,183,6.3,8.5,8.25,,10.89,3.28
Bobby Portis,20,1,62,1102,186,436,16,52,48,66,123,337,52,25,22,54,100,436,23.63605535,22,81.5,82.5,86,108.5,31.5,140,25,133.5,246,8.9,9.5,9.25,5,11.71,3.56
Norman Powell,22,1,49,725,97,229,36,89,43,53,16,111,47,29,10,32,59,273,20.52539862,46,75,76.25,82.75,102.5,40.5,143,32.5,135,215,6.4,9.25,9,5,10.76,3.2
Terry Rozier,21,1,39,311,29,106,6,27,8,10,24,63,37,6,1,19,23,72,15.68237621,16,72.75,74.25,80.25,98.5,38,136.5,33,131.5,190,5.6,8.25,8.75,7,10.88,3.15
D'Angelo Russell,19,1,80,2259,392,956,130,370,140,190,47,274,266,93,13,196,142,1054,23.40980611,2,75.25,77,81.75,102,,,,,193,8.3,8.75,9.75,,,
Myles Turner,19,1,60,1367,264,530,3,14,88,121,68,332,41,25,86,67,158,619,23.88980761,11,81.75,83.5,88,112,,,,,239,9.3,9.25,9.25,,,
Rashad Vaughn,19,1,70,1001,81,266,43,147,12,15,11,88,39,29,16,28,73,217,12.01727772,17,75.75,77,79,101,34,135,28,129,199,6.2,8,8.5,5,11.41,3.21
Alan Williams,23,1,10,68,10,24,0,0,9,14,14,38,5,4,5,6,15,29,30.67366176,,79.25,80.25,85.75,106.5,28.5,135,25.5,132,261,12,8.5,9.5,8,12.07,3.5
Justise Winslow,19,1,78,2232,195,462,32,116,80,117,81,403,117,68,26,95,184,502,13.34402554,10,76.5,78.5,82.25,104.5,,,,,222,5.3,8.5,9.25,,,
Christian Wood,20,1,17,145,22,53,4,11,13,21,13,38,3,5,7,2,11,61,26.02474483,,81.25,82.5,87.25,111.5,,,,,216,14.7,9.25,10.75,,,
Delon Wright,23,1,27,229,36,80,5,13,26,35,8,37,31,8,3,16,7,103,25.19599127,20,76.25,77.5,79.5,101.5,31,132.5,29.5,131,181,6.6,8,8.5,4,11.21,3.29
Ron Baker,23,1,52,857,82,217,23,86,28,43,12,98,107,34,8,56,74,215,14.64149008,,75.25,76.25,81.75,97.5,35.5,133,30,127.5,212,7.9,8.75,9.5,,10.77,3.45
Wade Baldwin,20,1,33,405,36,115,3,22,31,37,11,46,61,18,7,39,40,106,15.0527037,17,74.5,76,83.25,100,38,138,32.5,132.5,202,5.2,9,9.75,,10.45,3.19
Malik Beasley,20,1,22,165,33,73,9,28,8,10,5,17,11,7,0,8,10,83,25.23433333,19,75.5,76.5,79,100.5,,,,,190,6.9,8.5,9,,,
Ben Bentil,21,1,3,10,0,3,0,1,0,0,0,2,0,0,0,1,1,0,-4.1657,51,79.25,80.25,85.5,105,33,138,29,134,229,9.7,9.5,10,,11.16,3.3
Joel Bolomboy,23,1,12,53,9,16,1,4,3,6,4,17,2,1,2,2,1,22,25.091,52,79.5,81,85.75,103.5,40.5,144,37.5,141,224,5.2,9,10.25,,10.26,3.17
Malcolm Brogdon,24,1,75,1982,290,635,78,193,109,126,47,213,317,84,12,113,140,767,22.95373966,36,75.75,77.5,82.5,98,35.5,133.5,30.5,128.5,223,5.4,9,10.25,,10.77,3.31
Jaylen Brown,20,1,78,1341,192,423,46,135,85,124,45,220,64,35,18,68,142,515,18.73119463,3,77.25,78.75,83.75,102.5,,,,,223,5.1,8.75,9,,,
Marquese Chriss,19,1,82,1743,284,632,72,224,113,181,96,348,60,67,70,108,263,753,21.58234423,8,80.75,82,84.25,105,38.5,143.5,32.5,137.5,233,8.5,9,9,,11.93,3.26
Semaj Christon,24,1,64,973,77,223,12,63,17,31,19,87,130,28,7,43,79,183,12.44919836,55,73.5,75.25,78.5,99,36.5,135.5,30.5,129.5,186,5.3,8.5,8.25,,11.55,3.32
Quinn Cook,23,1,14,188,33,66,11,26,2,5,1,7,26,4,0,13,13,79,19.99187766,,72.25,74,76,96.5,31,127.5,24.5,121,179,6.7,7.5,8.25,14,11.28,3.38
Deyonta Davis,20,1,36,238,24,47,0,0,10,18,20,60,2,3,17,8,40,58,14.79319748,31,81.25,82.5,86.5,108.5,,,,,237,9.7,9,9.25,,,
Cheick Diallo,20,1,17,199,36,76,0,0,15,21,23,73,4,4,7,7,17,87,26.48742714,33,79.5,81,88.5,107.5,35,142.5,31,138.5,219,5.6,8.5,9.75,,11.24,3.26
Kris Dunn,22,1,78,1333,118,313,21,73,36,59,24,166,188,78,36,89,178,293,14.82208177,5,75,76.25,81.5,100,,,,,,,,,,,
Henry Ellenson,20,1,19,146,23,64,10,35,4,8,8,41,7,1,1,14,6,60,19.7095274,18,82,83.5,86.25,108,,,,,242,11.2,8.5,9.75,,,
Kay Felder,21,1,42,386,62,158,7,22,35,49,3,41,58,18,7,30,38,166,22.56392746,54,68.25,69.5,74.5,88.5,44,132.5,35.5,124,177,5.8,8.25,8.5,,11.52,3.15
Dorian Finney-Smith,23,1,81,1642,124,333,56,191,46,61,55,222,67,52,25,45,125,350,13.12417418,,78.5,79.75,83.75,105.5,35.5,141,32.5,138,213,6.5,9,9.75,,11.01,3.27
Michael Gbinije,24,1,9,32,1,10,0,4,2,2,2,3,2,0,0,0,2,4,9.61540625,49,77.5,78.75,79.5,101,37.5,138.5,33.5,134.5,205,5.4,8,9,,11,3.12
Treveon Graham,23,1,27,189,19,40,9,15,10,15,5,22,6,6,1,3,18,57,15.93586243,,76.75,77.75,82.5,103,31.5,134.5,28.5,131.5,219,5.5,8.5,8.25,11,11.6,3.3
Andrew Harrison,22,1,72,1474,117,360,43,156,148,194,23,136,198,53,21,85,194,425,15.93061872,44,76.5,77.5,81,100,33,133,26.5,126.5,213,5.9,8.25,9.25,,11.16,3.34
Buddy Hield,24,1,82,1888,327,767,148,379,64,76,35,269,121,38,9,101,115,866,22.51101059,6,75.75,77,81.25,101,,,,,212,6.1,8.5,9,,,
Demetrius Jackson,22,1,5,17,3,4,1,1,3,6,2,4,3,0,0,0,0,10,35.38670588,45,72,73.25,77.5,93,43.5,136.5,37.5,130.5,194,6.5,8.25,9,,10.81,3.25
Pierre Jackson,25,1,8,84,13,39,3,11,6,7,1,9,19,2,0,3,5,35,26.29788095,42,69.5,70.5,70,90,,,,,176,4.5,7.5,8.25,,,
Brice Johnson,22,1,3,9,2,7,0,0,0,0,1,3,1,2,1,1,0,4,40.90977778,25,81,82.5,84.5,106.5,38,144.5,33.5,140,209,7.5,9,8.25,,11.88,3.2
Damian Jones,21,1,10,85,8,16,0,0,3,10,9,23,0,1,4,6,15,19,10.29942353,30,82.25,83.5,87.75,107,37,144,36,143,244,6.6,8.75,10.5,,11.35,3.2
Jake Layman,22,1,35,249,26,89,13,51,13,17,6,24,11,9,3,11,22,78,15.85695984,47,80,81.25,81.25,102,39.5,141.5,33,135,209,7.1,8.25,9.25,,11.35,3.24
Caris LeVert,22,1,57,1237,171,380,59,184,67,93,23,188,110,49,8,59,91,468,20.78798141,20,77.75,79,82,101,,,,,191,7.6,8.5,9.25,,,
Thon Maker,19,1,57,562,83,181,28,74,32,49,40,114,23,10,26,17,84,226,22.04582384,10,83.75,84.75,87,110.5,36.5,147,32,142.5,216,6.1,8.75,9.5,,11.15,3.33
Patrick McCaw,21,1,71,1074,106,245,41,123,29,37,21,100,77,32,15,36,62,282,15.25951583,38,77.25,78.75,82,100.5,38,138.5,30,130.5,181,4.7,8.75,8.75,,11.01,3.3
Georges Niang,23,1,23,93,9,36,1,12,2,2,2,17,5,3,0,5,6,21,12.68998925,50,78.75,80.5,82,103,31,134,25,128,231,10.1,9.25,9.25,,11.64,3.49
Chinanu Onuaku,20,1,5,52,5,7,0,0,4,4,2,10,3,3,1,4,6,14,15.37011538,37,81,82,86.75,108.5,33.5,142,27.5,136,245,8.6,9,8,,11.65,3.5
Gary Payton II,24,1,6,99,8,22,1,9,3,5,0,12,13,3,4,10,9,20,11.02616162,,74,75,80,99.5,38.5,138,31.5,131,184,4,8.75,9.5,,11.57,3.23
Jakob Poeltl,21,1,54,626,67,115,0,0,31,57,78,165,12,17,20,29,113,165,15.39077636,9,84.25,85,86.75,111.5,,,,,239,5.8,9.25,10.25,,,
Taurean Prince,22,1,59,981,114,285,33,102,74,94,25,157,55,43,27,61,96,335,18.17942915,12,78.5,79.75,83.5,102,36,138,34,136,220,6.5,9,8.5,,10.96,3.24
Chasson Randle,23,1,26,299,40,98,16,47,41,43,6,32,34,9,2,19,39,137,22.7797291,,72.75,73.5,79,96.5,39.5,136,33.5,130,179,4.5,8.5,9.5,6,10.61,3.2
Malachi Richardson,21,1,22,198,28,68,8,28,15,19,3,23,11,5,1,8,23,79,18.77525758,22,76.75,78.25,84,101.5,38,139.5,33,134.5,200,7,8.75,10,,10.56,3.33
Wayne Selden,22,1,14,236,25,58,7,28,14,22,1,16,13,6,1,12,18,71,13.23060593,,76.25,77.75,82.5,101,,,,,232,7.3,9,9.25,,,
Pascal Siakam,22,1,55,859,103,205,1,7,22,32,64,185,17,26,45,33,109,229,16.43968335,27,80.25,81.5,87.25,107.5,36.5,144,30.5,138,227,5.2,9.25,10,,11.25,3.41
Diamond Stone,19,1,7,24,3,13,0,0,4,4,1,6,0,0,1,2,5,10,16.80670833,40,81,82.25,86.75,108.5,29.5,138,27,135.5,254,12.9,8.5,7.75,,12.02,3.5
Tyler Ulis,21,1,61,1123,184,437,21,79,55,71,20,95,226,48,5,77,73,444,23.37704185,34,68.75,70,74,88.5,38,126.5,32.5,121,149,5.2,7.5,7.5,,10.8,3.2
Jarrod Uthoff,23,1,9,115,16,38,3,9,5,7,8,22,9,2,4,3,8,40,21.92048696,,80.5,81.75,83.5,104,34.5,138.5,29,133,214,6,8.75,9,,11.52,3.5
Denzel Valentine,23,1,57,976,102,288,73,208,14,18,11,151,63,30,7,49,86,291,15.94732684,14,76,77.75,82.75,102,32,134,27,129,210,9.2,8.5,9.75,,10.51,3.46
Isaiah Whitehead,21,1,73,1643,204,508,44,149,91,113,32,184,192,42,36,142,175,543,16.30374863,42,75.25,76.5,80.75,100,35.5,135.5,27.5,127.5,210,9.3,8.5,8.75,,11.65,3.34
Troy Williams,22,1,30,557,73,167,18,62,21,32,15,69,25,27,10,32,60,185,16.70866786,,77.75,78.75,80.25,102,36,138,30,132,218,10,8.25,9.25,,10.72,3.35
Kyle Wiltjer,24,1,14,44,4,14,4,13,1,2,4,10,2,3,1,5,4,13,17.14722727,,80.75,82,84.25,102.5,35.5,138,28.5,131,243,15.3,8.25,9.5,,11.35,3.48
Stephen Zimmerman,20,1,19,108,10,31,0,0,3,5,11,35,4,2,5,3,17,23,16.03994444,41,82.25,83.75,87.25,108.5,31,139.5,26,134.5,234,11.2,9,9,,12.08,3.43
